seq,frame_num,cam_view,gait_pat,id,url,min_frame,max_frame,get_info_success,fps,start_time,end_time,download_video_success,video_path,crop_path,multi_person,poses_path
cljs12u6n000g3n6l1aq9hj4u,263,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,263,337,True,24.0,10.958,14.042,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs141s3000k3n6lj0z35fww,344,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,344,413,True,24.0,14.333,17.208,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs14tc4000o3n6lcl4e859g,416,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,416,520,True,24.0,17.333,21.667,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs1hv8z000s3n6li0v6glrz,533,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,533,674,True,24.0,22.208,28.083,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs1j69t000w3n6ll4jnm662,679,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,679,729,True,24.0,28.292,30.375,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs1ke3l00103n6l5nvm1yfd,734,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,734,780,True,24.0,30.583,32.5,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs1lk2900143n6lddkmnnro,784,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,784,835,True,24.0,32.667,34.792,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs1ngj000183n6l5u5lc6lr,838,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,838,920,True,24.0,34.917,38.333,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs1qgry001c3n6lv7sqrtr6,931,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,931,1047,True,24.0,38.792,43.625,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs1rs7s001g3n6lza2i5sdx,1051,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,1051,1175,True,24.0,43.792,48.958,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs1t95n001k3n6ldcxlogmd,1179,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,1179,1356,True,24.0,49.125,56.5,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs1xxx5001o3n6lk7mnpg08,1375,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,1375,1475,True,24.0,57.292,61.458,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs2vx9b001s3n6lo4tc3qwd,1483,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,1483,1541,True,24.0,61.792,64.208,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs2wgbs001w3n6lh1rtv3be,1548,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,1548,1605,True,24.0,64.5,66.875,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs35dwh00243n6lp1kx95if,1610,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,1610,1713,True,24.0,67.083,71.375,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs37jz800283n6lb3g7s5a5,1721,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,1721,1806,True,24.0,71.708,75.25,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs38rol002c3n6lnpdlbyoq,1812,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,1812,1925,True,24.0,75.5,80.208,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs3bsag002g3n6l2jctyel3,2118,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,2118,2203,True,24.0,88.25,91.792,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs3cnzx002k3n6lf906p4hv,2207,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,2207,2324,True,24.0,91.958,96.833,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cllbbsgxm003q3o6lz11hb2tj,2330,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,2330,2412,True,24.0,97.083,100.5,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs3dvx6002o3n6lqlo1s770,2527,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,2527,2709,True,24.0,105.292,112.875,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs3fc6r002s3n6l1va1vqkv,2762,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,2762,2816,True,24.0,115.083,117.333,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs3k2d600303n6le6jwya03,3289,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,3289,3350,True,24.0,137.042,139.583,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs3lenp00343n6lg7lk0p9c,3356,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,3356,3404,True,24.0,139.833,141.833,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs3m7j800383n6lhtfqmad8,3421,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,3421,3519,True,24.0,142.542,146.625,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs3pito003c3n6ll8xr0kbi,3529,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,3529,3658,True,24.0,147.042,152.417,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs3r7oy003g3n6lkf4rejsb,3671,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,3671,3792,True,24.0,152.958,158.0,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs3yzy0003k3n6lkupc3zyj,3816,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,3816,3860,True,24.0,159.0,160.833,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs40rs9003r3n6lcwzznnbm,4081,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,4081,4208,True,24.0,170.042,175.333,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs424vc003v3n6l00y4fdlb,4299,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,4299,4401,True,24.0,179.125,183.375,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs43skx00433n6lxa7dsu3i,4565,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,4565,4664,True,24.0,190.208,194.333,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs45dkb00473n6lesqaxyj0,5068,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,5068,5229,True,24.0,211.167,217.875,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs47o7w004f3n6lxha5i3or,5610,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,5610,5721,True,24.0,233.75,238.375,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs48vzw004j3n6ld4gmox8u,5744,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,5744,5831,True,24.0,239.333,242.958,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs4b5pp004n3n6lals2zpwr,6060,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,6060,6171,True,24.0,252.5,257.125,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs4cd14004r3n6l3pu26q0r,6226,left side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,6226,6312,True,24.0,259.417,263.0,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs4dsq7004v3n6lzy1oxbvw,6324,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,6324,6435,True,24.0,263.5,268.125,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs4evdd004z3n6lvr0hypqr,6472,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,6472,6549,True,24.0,269.667,272.875,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs4fg5q00533n6lva2cwo7m,6559,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,6559,6691,True,24.0,273.292,278.792,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs4htao005f3n6ltnfqcut7,6873,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,6873,6939,True,24.0,286.375,289.125,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs4jfyk005j3n6lwif0h0gw,6968,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,6968,7034,True,24.0,290.333,293.083,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs4mt5j005n3n6ladrkpabn,7181,left side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,7181,7268,True,24.0,299.208,302.833,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs4o2ps005r3n6lxofiekfe,7277,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,7277,7439,True,24.0,303.208,309.958,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs4qzpx005v3n6lpl170g3d,7898,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,7898,8100,True,24.0,329.083,337.5,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs4shwn005z3n6lw5bwbprv,8139,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,8139,8267,True,24.0,339.125,344.458,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljvwlhib00323n6lu8rksy7r,43,right side,prosthetic,aasbbfv7hN0,https://www.youtube.com/watch?v=aasbbfv7hN0,43,320,True,30.0,1.433,10.667,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/aasbbfv7hN0_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/aasbbfv7hN0_crop.mp4,False,
cljvx07sw003h3n6ltdmixplw,3378,left side,normal,aqUuTLh6pHk,https://www.youtube.com/watch?v=aqUuTLh6pHk,3378,3459,True,25.0,135.12,138.36,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/aqUuTLh6pHk_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/aqUuTLh6pHk_crop.mp4,False,
cljvx1c3b003l3n6l6e7onq3z,3740,right side,normal,aqUuTLh6pHk,https://www.youtube.com/watch?v=aqUuTLh6pHk,3740,3818,True,25.0,149.6,152.72,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/aqUuTLh6pHk_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/aqUuTLh6pHk_crop.mp4,False,
cll1tbuth00053o6lx6ohlub5,146,left side,parkinsons,b0KrA_96Ks0,https://www.youtube.com/watch?v=b0KrA_96Ks0,146,561,True,25.0,5.84,22.44,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/b0KrA_96Ks0_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/b0KrA_96Ks0_crop.mp4,False,
cll1tcctq00093o6l30ew8fz2,647,right side,parkinsons,b0KrA_96Ks0,https://www.youtube.com/watch?v=b0KrA_96Ks0,647,983,True,25.0,25.88,39.32,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/b0KrA_96Ks0_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/b0KrA_96Ks0_crop.mp4,False,
cljw4219w000t3n6lid99z8il,2843,right side,prosthetic,b2n0USprXmQ,https://www.youtube.com/watch?v=b2n0USprXmQ,2843,3102,True,30.0,94.767,103.4,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/b2n0USprXmQ_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/b2n0USprXmQ_crop.mp4,False,
cljw65m0800333n6lpxsiegdj,2745,left side,parkinsons,bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs,2745,3233,True,24.0,114.375,134.708,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/bmi1hYOnTHs_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/bmi1hYOnTHs_crop.mp4,False,
cljw69f3h003a3n6lk2qd3f08,5413,right side,parkinsons,bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs,5413,5707,True,24.0,225.542,237.792,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/bmi1hYOnTHs_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/bmi1hYOnTHs_crop.mp4,False,
cljw6r61s001t3n6luv0xuqsw,314,left side,inebriated,Ci73SIVET50,https://www.youtube.com/watch?v=Ci73SIVET50,314,462,True,30.0,10.467,15.4,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/Ci73SIVET50_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/Ci73SIVET50_crop.mp4,False,
